GPS log at 10hz
Latitude,Longitude,Timestep
570165667,99837517,154600
570165667,99837500,154700
570165667,99837483,154799
570165667,99837483,154899
570165667,99837467,155001
570165667,99837467,155101
570165667,99837450,155201
570165650,99837450,155299
570165650,99837450,155401
570165617,99837467,155501
570165617,99837467,155601
570165617,99837450,155699
570165600,99837450,155801
570165600,99837450,155900
570165583,99837450,155999
570165583,99837450,156099
570165567,99837467,156199
570165567,99837467,156299
570165567,99837450,156401
570165550,99837450,156499
570165550,99837450,156601
570165567,99837433,156699
570165567,99837433,156800
570165567,99837417,156901
570165567,99837383,156999
570165583,99837367,157099
570165600,99837333,157200
570165633,99837283,157299
570165633,99837317,157401
570165617,99837383,157499
